"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Long, R.; Xing, H.; Yang, Z.; Zheng, Q.; Yu, Z.; Huang, F.; Yao, C.","Long, Rujiao (57208776553); Xing, Hangdi (57837223800); Yang, Zhibo (57205359678); Zheng, Qi (57205367369); Yu, Zhi (56589267500); Huang, Fei (57210150087); Yao, Cong (55336187500)","57208776553; 57837223800; 57205359678; 57205367369; 56589267500; 57210150087; 55336187500","LORE++: Logical location regression network for table structure recognition with pre-training","2025","Pattern Recognition","157","","110816","","","10","10.1016/j.patcog.2024.110816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201309450&doi=10.1016%2Fj.patcog.2024.110816&partnerID=40&md5=12c10be18ad8bc2ddf85a3ff41562e49","Table structure recognition (TSR) aims at extracting tables in images into machine-understandable formats. Current approaches address this issue by either predicting the adjacency of detected cells or direct generation of structural sequences. Nonetheless, these approaches either count on additional heuristic rules for post-processing, or involve the generation of extremely long-range sequences that lead to computational intricacy. In this paper, We redefine TSR as a LOgical location REgression paradigm, which effectively captures inherent logical dependencies and constraints among table cells. Correspondingly, we propose LORE, a novel approach for TSR. LORE simultaneously predicts accurate geometric coordinates of table cells and the logical structures of the entire table. Our proposed LORE is conceptually simpler, easier to train, and more accurate than other TSR paradigms. Moreover, to enhance the model's spatial and logical representation capabilities, we propose two pre-training tasks, resulting in an upgraded version named LORE++. The incorporation of pre-training is proven to enjoy significant advantages, leading to a substantial enhancement in terms of accuracy, generalization, and few-shot capability compared to its predecessor. Experiments on standard benchmarks demonstrate the superiority of LORE++, which highlights the potential and promising prospect of the logical location regression paradigm for TSR. © 2024 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85201309450"
"L.; Costa, J.P.; J.P.F.; Garcia Freitas, P.; Li, L.","; Costa, Joaõ Paulo Carvalho Lustosa Da (57188933911); Garcia Freitas, Pedro Garcia (55431728000); Li, Weigang (52163887600)","60244822700; 57188933911; 60244615200; 55431728000; 52163887600","Towards Zero-Shot Document Image Classification","2025","Brazilian Symposium of Computer Graphic and Image Processing","","","","","","0","10.1109/SIBGRAPI67909.2025.11223349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025139683&doi=10.1109%2FSIBGRAPI67909.2025.11223349&partnerID=40&md5=1739bb190490afe6f5c948d5d575a275","Classification is a fundamental tool to automate the process of categorizing documents in many real-world applications, such as information management, financial document processing, healthcare records management, news categorization, fraud detection, regulatory compliance, and many others. Because of this broad spectrum of applications, document classification is of paramount importance for various companies. However, documents often change in terms of format and their visual patterns, which may impair a simple classification model. Moreover, model continuance and retraining often demands important efforts, consuming computational resources and demanding new data. Therefore, techniques capable of classifying documents by simply observing new data, without necessarily requiring retraining the classifier, are of immense importance for a wide variety of applications. In this context, Zero-Shot Learning (ZSL) is especially suitable for document classification because it handles diverse and ever-changing document content. In this work, we tackle the gap involving Zero-Shot Document Image Classification (ZS-DIC), where we classify documents that have not been seen by the model during training. To achieve this, we built Layout-Aware Complex Document Information Processing (LA-CDIP), a dataset tailored for this problem. LAC-DIP prioritizes structural consistency, allowing models to classify documents correctly under a ZSL scenario. To benchmark this dataset, we developed a series of Siamese Neural Networks (NNs) based on a variety of computer vision neural architectures, such as ResNet, EfficientNet, ViT and others. As a result, the proposed ZSL-based method achieves Equal Error Rates (EERs) under 5%. The code of the proposed method is available at https://github.com/ABMHub/doc-zsl. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105025139683"
"Wang, K.; Toibazar, D.; Alfulayt, A.; Albadawi, A.S.; Alkahtani, R.A.; Ibrahim, A.A.; Alhomoud, H.A.; Mohamed, S.; Moreno, P.J.","Wang, Kesen (60089147800); Toibazar, Daulet (59897473600); Alfulayt, Abdulrahman (60089470600); Albadawi, Abdulaziz S. (60089039000); Alkahtani, Ranya (59717495300); Ibrahim, Asma A. (59716747700); Alhomoud, Haneen (59332897900); Mohamed, Sherif (60089470700); Moreno, Pedro J. (60088930000)","60089147800; 59897473600; 60089470600; 60089039000; 59717495300; 59716747700; 59332897900; 60089470700; 60088930000","Multi-Agent Interactive Question Generation Framework for Long Document Understanding","2025","IEEE International Workshop on Machine Learning for Signal Processing, MLSP","","","","","","0","10.1109/MLSP62443.2025.11204232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022086088&doi=10.1109%2FMLSP62443.2025.11204232&partnerID=40&md5=459b23c9510f613ffb77185ab2bdffd3","Document Understanding (DU) in long-contextual scenarios with complex layouts remains a significant challenge in vision-language research. Although Large Vision-Language Models (LVLMs) excel at short-context DU tasks, their performance declines in long-context settings. A key limitation is the scarcity of fine-grained training data, particularly for low-resource languages such as Arabic. Existing state-of-the-art techniques rely heavily on human annotation, which is costly and inefficient. We propose a fully automated, multi-agent interactive framework to generate long-context questions efficiently. Our approach efficiently generates high-quality single- and multi-page questions for extensive English and Arabic documents, covering hundreds of pages across diverse domains. This facilitates the development of LVLMs with enhanced long-context understanding ability. Experimental results in this work have shown that our generated English and Arabic questions (AraEngLongBench) are quite challenging to major open- and close-source LVLMs. The code and data proposed in this work can be found in https://github.com/ wangk0b/Multi_Agentic_QA_Long_Doc.git. Sample Question and Answer (QA) pairs and structured system prompts can be found in the Appendix. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105022086088"
"Deng, C.; Yuan, J.; Bu, P.; Wang, P.; Li, Z.-Z.; Xu, J.; Li, X.-H.; Gao, Y.; Song, J.; Zheng, B.; Liu, C.-L.","Deng, Chao (59510504300); Yuan, Jiale (59156177200); Bu, Pi (59361765100); Wang, Peijie (59510579200); Li, Zhongzhi (58753030300); Xu, Jian (57861126300); Li, Xiaohui (57203016574); Gao, Yuan (59156568500); Song, Jun (58135142300); Zheng, Bo (57214453009); Liu, Chenglin (36064176500)","59510504300; 59156177200; 59361765100; 59510579200; 58753030300; 57861126300; 57203016574; 59156568500; 58135142300; 57214453009; 36064176500","LongDocURL: a Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning, and Locating","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","1135","1159","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021057050&partnerID=40&md5=5b0de3a3cd9eb47917840f04be42e0bd","Large vision language models (LVLMs) have improved the document understanding capabilities remarkably, enabling the handling of complex document elements, longer contexts, and a wider range of tasks. However, existing document understanding benchmarks have been limited to handling only a small number of pages and fail to provide a comprehensive analysis of layout elements locating. In this paper, we first define three primary task categories: Long Document Understanding, numerical Reasoning, and cross-element Locating, and then propose a comprehensive benchmark-LongDocURL-integrating above three primary tasks and comprising 20 sub-tasks categorized based on different primary tasks and answer evidences. Furthermore, we develop a semi-automated construction pipeline and collect 2,325 high-quality question-answering pairs, covering more than 33,000 pages of documents, significantly outperforming existing benchmarks. Subsequently, we conduct comprehensive evaluation experiments on both open-source and closed-source models across 26 different configurations, revealing critical performance gaps in this field. The code and data: https://github.com/dengc2023/LongDocURL. © 2025 Association for Computational Linguistics.","Conference paper","Final","","Scopus","2-s2.0-105021057050"
"Morin, L.; Weber, V.; Nassar, A.; Meijer, G.I.; van Gool, L.; Li, Y.; Staar, P.","Morin, Lucas (58574428300); Weber, Valéry T. (7005235316); Nassar, Ahmed S. (57222289265); Meijer, Gerhard Ingmar (36000026700); van Gool, Luc J. (22735702300); Li, Yawei (57189730893); Staar, Peter W.J. (45561795700)","58574428300; 7005235316; 57222289265; 36000026700; 22735702300; 57189730893; 45561795700","MarkushGrapher: Joint Visual and Textual Recognition of Markush Structures","2025","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","14505","14515","1","10.1109/CVPR52734.2025.01352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017087536&doi=10.1109%2FCVPR52734.2025.01352&partnerID=40&md5=5e0e048a59272429cddba585c44d5891","The automated analysis of chemical literature holds promise to accelerate discovery in fields such as material science and drug development. In particular, search capabilities for chemical structures and Markush structures (chemical structure templates) within patent documents are valuable, e.g., for prior-art search. Advancements have been made in the automatic extraction of chemical structures from text and images, yet the Markush structures remain largely unexplored due to their complex multi-modal nature. In this work, we present MarkushGrapher, a multimodal approach for recognizing Markush structures in documents. Our method jointly encodes text, image, and layout information through a Vision-Text-Layout encoder and an Optical Chemical Structure Recognition vision encoder. These representations are merged and used to autoregressively generate a sequential graph representation of the Markush structure along with a table defining its variable groups. To overcome the lack of real-world training data, we propose a synthetic data generation pipeline that produces a wide range of realistic Markush structures. Additionally, we present M2S, the first annotated benchmark of real-world Markush structures, to advance research on this challenging task. Extensive experiments demonstrate that our approach outperforms state-of-the-art chemistry-specific and general-purpose vision-language models in most evaluation settings. Code, models, and datasets are available1 © 2025 IEEE.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017087536"
"Duan, Y.; Chen, Z.; Hu, Y.; Wang, W.; Ye, S.; Shi, B.; Lu, L.; Hou, Q.; Lu, T.; Li, H.; Dai, J.; Wang, W.","Duan, Yuchen (57719405500); Chen, Zhe (57771212400); Hu, Yusong (57937962300); Wang, Weiyun (57983006500); Ye, Shenglong (59048037300); Shi, Botian (57211759002); Lu, Lewei (57219510289); Hou, Qibin (57191428893); Lu, Tong (27169293700); Li, Hongsheng (57141098300); Dai, Jifeng (57141385600); Wang, Wenhai (57192992309)","57719405500; 57771212400; 57937962300; 57983006500; 59048037300; 57211759002; 57219510289; 57191428893; 27169293700; 57141098300; 57141385600; 57192992309","Docopilot: Improving Multimodal Models for Document-Level Understanding","2025","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","4026","4037","2","10.1109/CVPR52734.2025.00381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017057324&doi=10.1109%2FCVPR52734.2025.00381&partnerID=40&md5=4e5f28fe07f34ed446aa9949eff3b2e4","Despite significant progress in multimodal large language models (MLLMs), their performance on complex, multi-page document comprehension remains inadequate, largely due to the lack of high-quality, document-level datasets. While current retrieval-augmented generation (RAG) methods offer partial solutions, they suffer from issues, such as fragmented retrieval contexts, multi-stage error accumulation, and extra time costs of retrieval. In this work, we present a high-quality document-level dataset, Doc-750K, designed to support in-depth understanding of multimodal documents. This dataset includes diverse document structures, extensive cross-page dependencies, and real question-answer pairs derived from the original documents. Building on the dataset, we develop a native multimodal model - Docopilot, which can accurately handle document-level dependencies without relying on RAG. Experiments demonstrate that Docopilot achieves superior coherence, accuracy, and efficiency in document understanding tasks and multi-turn interactions, setting a new baseline for document-level multimodal understanding. Data, code, and models are released at https://github.com/OpenGVLab/Docopilot. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105017057324"
"Guo, H.; Qin, X.; Ou Yang, J.J.; Zhang, P.; Zeng, G.; Li, Y.; Lin, H.","Guo, Hao (60114124500); Qin, Xugong (57215089190); Ou Yang, Junjie (59475812000); Zhang, Peng (59876105100); Zeng, Gangyan (57215816277); Li, Yubo (58538630700); Lin, Hailun (56482451400)","60114124500; 57215089190; 59475812000; 59876105100; 57215816277; 58538630700; 56482451400","Towards Natural Language-Based Document Image Retrieval: New Dataset and Benchmark","2025","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","29722","29732","0","10.1109/CVPR52734.2025.02767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017030971&doi=10.1109%2FCVPR52734.2025.02767&partnerID=40&md5=7895a69b4cc4d124d377489b48487aff","Document image retrieval (DIR) aims to retrieve document images from a gallery according to a given query. Existing DIR methods are primarily based on image queries that retrieve documents within the same coarse semantic category, e.g., newspapers or receipts. However, these methods struggle to effectively retrieve document images in real-world scenarios where textual queries with fine-grained semantics are usually provided. To bridge this gap, we introduce a new Natural Language-based Document Image Retrieval (NL-DIR) benchmark with corresponding evaluation metrics. In this work, natural language descriptions serve as semantically rich queries for the DIR task. The NL-DIR dataset contains 41K authentic document images, each paired with five high-quality, fine-grained semantic queries generated and evaluated through large language models in conjunction with manual verification. We perform zero-shot and fine-tuning evaluations of existing mainstream contrastive vision-language models and OCR-free visual document understanding (VDU) models. A two-stage retrieval method is further investigated for performance improvement while achieving both time and space efficiency. We hope the proposed NL-DIR benchmark can bring new opportunities and facilitate research for the VDU community. Datasets and codes will be publicly available at huggingface.co/datasets/nianbing/NL-DIR. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105017030971"
"Nacson, M.S.; Aberdam, A.; Ganz, R.; Avraham, E.B.; Golts, A.; Kittenplon, Y.; Mazor, S.; Litman, R.","Nacson, Mor Shpigel (57204920489); Aberdam, Aviad (57200090557); Ganz, Roy (57223730652); Avraham, Elad Ben (58858910700); Golts, Alona (57189442329); Kittenplon, Yair (57221116403); Mazor, Shai (57194051337); Litman, Ron (57219703659)","57204920489; 57200090557; 57223730652; 58858910700; 57189442329; 57221116403; 57194051337; 57219703659","DocVLM: Make Your VLM an Efficient Reader","2025","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","29005","29015","2","10.1109/CVPR52734.2025.02701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017027331&doi=10.1109%2FCVPR52734.2025.02701&partnerID=40&md5=be357c5c043bb597e25414a3c2dc312f","Vision-Language Models (VLMs) excel in diverse visual tasks but face challenges in document understanding, which requires fine-grained text processing. While typical visual tasks perform well with low-resolution inputs, reading-intensive applications demand high-resolution, resulting in significant computational overhead. Using OCR-extracted text in VLM prompts partially addresses this issue but underperforms compared to full-resolution counterpart, as it lacks the complete visual context needed for optimal performance. We introduce DocVLM, a method that integrates an OCR-based modality into VLMs to enhance document processing while preserving original weights. Our approach employs an OCR encoder to capture textual content and layout, compressing these into a compact set of learned queries incorporated into the VLM. Comprehensive evaluations across leading VLMs show that DocVLM significantly reduces reliance on high-resolution images for document understanding. In limited-token regimes (448×448), DocVLM with 64 learned queries improves DocVQA results from 56.0% to 86.6% when integrated with InternVL2 and from 84.4% to 91.2% with Qwen2-VL. In LLaVA-OneVision, DocVLM achieves improved results while using 80% less image tokens. The reduced token usage allows processing multiple pages effectively, showing impressive zero-shot results on DUDE and state-of-the-art performance on MP-DocVQA, highlighting DocVLM's potential for applications requiring high-performance and efficiency. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105017027331"
"Son, H.H.; Duc-Dung, N.; Phuong, N.T.; Giang Son, T.","Son, Hoang Huu (57210846293); Duc-Dung, Nguyen (57190166348); Phuong, Nghiem Thi (60102818700); Giang Son, Tran (60102818800)","57210846293; 57190166348; 60102818700; 60102818800","Improving Table Structure Recognition Based on Content-Based Post-Processing","2025","","","","","","","0","10.1109/MAPR67746.2025.11133962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016160257&doi=10.1109%2FMAPR67746.2025.11133962&partnerID=40&md5=d96c6f1a9d299768cc1e9b7bdef4a6da","Table Structure Recognition (TSR) is a critical task in document understanding, particularly in financial and administrative domains where table layouts follow strict formatting rules. While state-of-the-art models such as CascadeTSRNet offer high performance in recognizing table structures, they often overlook content-level semantics, leading to errors in logically structured tables. In this paper, we propose a lightweight and effective post-processing method based on content analysis and rule-based correction, applied after table structure recognition. By combining OCR outputs with heuristic rules derived from financial document standards, our method identifies and rectifies formatting inconsistencies to enhance logical structure. Experimental results on the FinTabNet.C dataset demonstrate that this approach improves the overall TEDS score and increases the number of perfectly recognized tables (TEDS = 1), while requiring minimal computational overhead. Our method also shows promising performance when integrated with both traditional OCR engines and large vision-language models (e.g., Qwen2.5-VL-3B-Instruct). © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105016160257"
"Tanasa, A.-M.; Oprea, S.-V.","Tanasa, Andreea Maria (60006700800); Oprea, Simona Vasilica (30067888400)","60006700800; 30067888400","Rethinking Chart Understanding Using Multimodal Large Language Models","2025","Computers, Materials and Continua","84","2","","2905","2933","0","10.32604/cmc.2025.065421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011168144&doi=10.32604%2Fcmc.2025.065421&partnerID=40&md5=ec12808dc8f7652045dd4e85a986ef44","Extracting data from visually rich documents and charts using traditional methods that rely on OCR-based parsing poses multiple challenges, including layout complexity in unstructured formats, limitations in recognizing visual elements, and the correlation between different parts of the documents, as well as domain-specific semantics. Simply extracting text is not sufficient; advanced reasoning capabilities are proving to be essential to analyze content and answer questions accurately. This paper aims to evaluate the ability of the Large Language Models (LLMs) to correctly answer questions about various types of charts, comparing their performance when using images as input versus directly parsing PDF files. To retrieve the images from the PDF, ColPali, a model leveraging state-of-the-art visual language models, is used to identify the relevant page containing the appropriate chart for each question. Google’s Gemini multimodal models were used to answer a set of questions through two approaches: 1) processing images derived from PDF documents and 2) directly utilizing the content of the same PDFs. Our findings underscore the limitations of traditional OCR-based approaches in visual document understanding (VrDU) and demonstrate the advantages of multimodal methods in both data extraction and reasoning tasks. Through structured benchmarking of chart question answering (CQA) across input formats, our work contributes to the advancement of chart understanding (CU) and the broader field of multimodal document analysis. Using two diverse and information-rich sources: the World Health Statistics 2024 report by the World Health Organisation and the Global Banking Annual Review 2024 by McKinsey & Company, we examine the performance of multimodal LLMs across different input modalities, comparing their effectiveness in processing charts as images versus parsing directly from PDF content. These documents were selected due to their multimodal nature, combining dense textual analysis with varied visual representations, thus presenting realistic challenges for vision-language models. This comparison is aimed at assessing how advanced models perform with different input formats and to determine if an image-based approach enhances chart comprehension in terms of accurate data extraction and reasoning capabilities. © © 2025 The Authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011168144"
"Zhang, P.; Liu, Z.; Xiao, S.; Shao, N.; Ye, Q.; Dou, Z.","Zhang, Peitian (57313719200); Liu, Zheng (57211759701); Xiao, Shitao (57223161443); Shao, Ninglu (57938995100); Ye, Qiwei (59437989000); Dou, Zhicheng (24722777200)","57313719200; 57211759701; 57223161443; 57938995100; 59437989000; 24722777200","LONG CONTEXT COMPRESSION WITH ACTIVATION BEACON","2025","","","","","1768","1784","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010225903&partnerID=40&md5=2e7a70e825646c595a3cf98bc5eaf9f0","Long context compression is a critical research problem due to its significance in reducing the high computational and memory costs associated with LLMs. In this paper, we propose Activation Beacon, a plug-in module for transformer-based LLMs that targets effective, efficient, and flexible compression of long contexts. To achieve this, our method introduces the following technical designs. 1) We directly compress the activations (i.e. keys and values at every layer), rather than leveraging soft prompts to relay information (which constitute a major bottleneck to encapsulate the complex information within long contexts). 2) We tailor the compression workflow, where each fine-grained input unit is progressively compressed, enabling high-quality compression and efficient computation during both training and inference. 3) We train the model through compression-based auto-regression, making full use of plain texts and instructional data to optimize the model's compression performance. 4) During training, we randomly sample a compression ratio at each step, teaching the model to support a wide range of compression configurations. Extensive evaluations are conducted on various long-context tasks whose lengths (e.g., 128K) may far exceed the maximum training length (20K), such as document understanding, few-shot learning, and Needle-in-a-Haystack. Whilst existing methods struggle to handle these challenging tasks, Activation Beacon maintains a comparable performance to the uncompressed baseline across various scenarios, achieving a 2x acceleration in inference time and an 8x reduction of memory costs for KV cache. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105010225903"
"Faysse, M.; Sibille, H.; Wu, T.; Omrani, B.; Viaud, G.; Hudelot, C.; Colombo, P.","Faysse, Manuel (58680476600); Sibille, Hugues (58191493000); Wu, Tony (59247370800); Omrani, Bilel (59247525100); Viaud, Gautier (56309978900); Hudelot, Céline (57203186077); Colombo, Pierre Jean A. (57216691461)","58680476600; 58191493000; 59247370800; 59247525100; 56309978900; 57203186077; 57216691461","ColPali: EFFICIENT DOCUMENT RETRIEVAL WITH VISION LANGUAGE MODELS","2025","","","","","64477","64502","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010218160&partnerID=40&md5=3e12d8af62b59688e3f2b75737fdabb8","Documents are visually rich structures that convey information through text, but also figures, page layouts, tables, or even fonts. Since modern retrieval systems mainly rely on the textual information they extract from document pages to index documents -often through lengthy and brittle processes-, they struggle to exploit key visual cues efficiently. This limits their capabilities in many practical document retrieval applications such as Retrieval Augmented Generation (RAG). To benchmark current systems on visually rich document retrieval, we introduce the Visual Document Retrieval Benchmark ViDoRe, composed of various page-level retrieval tasks spanning multiple domains, languages, and practical settings. The inherent complexity and performance shortcomings of modern systems motivate a new concept; doing document retrieval by directly embedding the images of the document pages. We release ColPali, a Vision Language Model trained to produce high-quality multi-vector embeddings from images of document pages. Combined with a late interaction matching mechanism, ColPali largely outperforms modern document retrieval pipelines while being drastically simpler, faster and end-to-end trainable. We release models, data, code and benchmarks under open licenses at https://hf.co/vidore. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105010218160"
"Tu, Y.; Zhang, C.; Guo, Y.; Chen, H.; Tang, J.; Zhu, H.; Zhang, Q.","Tu, Yi (58411864900); Zhang, Chong (57222873529); Guo, Ya (58414920800); Chen, Huan (58604460400); Tang, Jinyang (58414158500); Zhu, Huijia (57339992600); Zhang, Qi (57203621188)","58411864900; 57222873529; 58414920800; 58604460400; 58414158500; 57339992600; 57203621188","UNER: A Unified Prediction Head for Named Entity Recognition in Visually-rich Documents","2024","","","","","4890","4898","1","10.1145/3664647.3681473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209805958&doi=10.1145%2F3664647.3681473&partnerID=40&md5=53d59409fbb202b67328638c8c6b94ab","The recognition of named entities in visually-rich documents (VrD-NER) plays a critical role in various real-world scenarios and applications. However, the research in VrD-NER faces three major challenges: complex document layouts, incorrect reading orders, and unsuitable task formulations. To address these challenges, we propose a query-aware entity extraction head, namely UNER, to collaborate with existing multi-modal document transformers to develop more robust VrD-NER models. The UNER head considers the VrD-NER task as a combination of sequence labeling and reading order prediction, effectively addressing the issues of discontinuous entities in documents. Experimental evaluations on diverse datasets demonstrate the effectiveness of UNER in improving entity extraction performance. Moreover, the UNER head enables a supervised pre-training stage on various VrD-NER datasets to enhance the document transformer backbones and exhibits substantial knowledge transfer from the pre-training stage to the fine-tuning stage. By incorporating universal layout understanding, a pre-trained UNER-based model demonstrates significant advantages in few-shot and cross-linguistic scenarios and exhibits zero-shot entity extraction abilities. © 2024 Owner/Author.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85209805958"
"Jin, C.; Zhang, M.; Ma, W.; Li, Y.; Wang, Y.; Jia, Y.; Du, Y.; Sun, T.; Wang, H.; Fan, C.; Gu, J.; Chi, C.; Lv, X.; Li, F.; Xue, W.; Huang, Y.","Jin, Congyun (58745118500); Zhang, Ming (56768276700); Ma, Weixiao (58930106100); Li, Yujiao (58745950000); Wang, Yingbo (58109644500); Jia, Yabo (58931074600); Du, Yuliang (58745533100); Sun, Tao (58744907100); Wang, Haowen (58287265000); Fan, Cong (58745533200); Gu, Jinjie (57211945314); Chi, Chenfei (57191737330); Lv, Xiangguo (55945196200); Li, Fangzhou (57190192173); Xue, Wei (57217742952); Huang, Yiran (22979413800)","58745118500; 56768276700; 58930106100; 58745950000; 58109644500; 58931074600; 58745533100; 58744907100; 58287265000; 58745533200; 57211945314; 57191737330; 55945196200; 57190192173; 57217742952; 22979413800","RJUA-MedDQA: A Multimodal Benchmark for Medical Document Question Answering and Clinical Reasoning","2024","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","5218","5229","5","10.1145/3637528.3671644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203698869&doi=10.1145%2F3637528.3671644&partnerID=40&md5=9064ab6c1ac7af76210687f0a261c3aa","Recent advancements in Large Language Models (LLMs) and Large Multi-modal Models (LMMs) have shown potential in various medical applications, such as Intelligent Medical Diagnosis. Although impressive results have been achieved, we find that existing benchmarks do not reflect the complexity of real medical reports and specialized in-depth reasoning capabilities. In this work, we establish a comprehensive benchmark in the field of medical specialization and introduced RJUA-MedDQA, which contains 2000 real-world Chinese medical report images poses several challenges: comprehensively interpreting imgage content across a wide variety of challenging layouts, possessing the numerical reasoning ability to identify abnormal indicators and demonstrating robust clinical reasoning ability to provide the statement of disease diagnosis, status and advice based on a collection of medical contexts. We carefully design the data generation pipeline and proposed the Efficient Structural Restoration Annotation (ESRA) Method, aimed at restoring textual and tabular content in medical report images. This method substantially enhances annotation efficiency, doubling the productivity of each annotator, and yields a 26.8% improvement in accuracy. We conduct extensive evaluations, including few-shot assessments of 5 LMMs which are capable of solving Chinese medical QA tasks. To further investigate the limitations and potential of current LMMs, we conduct comparative experiments on a set of strong LLMs by using image-text generated by ESRA method. We report the performance of baselines and offer several observations: (1) The overall performance of existing LMMs is still limited; however LMMs more robust to low-quality and diverse-structured images compared to LLMs. (3) Reasoning across context and image content present significant challenges. We hope this benchmark helps the community make progress on these challenging tasks in multi-modal medical document understanding and facilitate its application in healthcare. Our dataset will be publicly available for noncommercial use at https://github.com/Alipay-Med/medDQA_benchmark.git © 2024 Copyright held by the owner/author(s).","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203698869"
"Qi, S.; Wang, F.; Sun, H.; Ge, Y.; Xiao, B.","Qi, Siyang (59327037100); Wang, Fei (57211809022); Sun, Hongzhi (59563379000); Ge, Yang (59563379100); Xiao, Bo (35729594700)","59327037100; 57211809022; 59563379000; 59563379100; 35729594700","GVDIE: A Zero-Shot Generative Information Extraction Method for Visual Documents Based on Large Language Models","2024","","","","","","","0","10.1109/APSIPAASC63619.2025.10848851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218178853&doi=10.1109%2FAPSIPAASC63619.2025.10848851&partnerID=40&md5=50e22298e843e2b3f6b161c7655962c4","Document Information Extraction aims to extract entities and relationships from visually rich documents. Traditional methods require significant annotation and lack generality. In this paper, we propose GVDIE, a Generative Visual Document Information Extraction method that leverages large language models for zero-shot information extraction. This method aligns document-level multimodal features with text layout features, enhancing performance. We introduce a layout augment module for key text block features and transform the document information extraction from sequence labeling task to a generative one. This approach improves flexibility, efficiency, and adaptability in processing diverse, unstructured documents. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85218178853"
