file,min,max,mean,std,q1,median,q3
2040799597_2040799609.tif,-456.0,474.0,-0.0158626,5.311555,-2.015625,-0.0078125,1.984375
502611624+-1624.tif,-456.0,474.0,-0.0036913124,5.6998963,-2.0625,0.0,2.0625
1003813813_3823.tif,-456.0,474.0,0.029379549,5.3966393,-1.9375,0.015625,1.96875
522730225+-0226.tif,-456.0,474.0,0.01825088,5.0051746,-1.9296875,0.015625,1.953125
524473199+-3200.tif,-456.0,474.0,-0.004001438,5.5015593,-2.0,0.005859375,2.0
2076412401_2417.tif,-456.0,474.0,0.007682949,5.2000194,-1.9765625,-0.0078125,1.96875
502405827+-5827.tif,-456.0,474.0,0.04926371,6.695776,-2.140625,-0.00390625,2.140625
0000341047.tif,-456.0,474.0,-0.0123451585,4.872385,-1.9453125,-0.0078125,1.921875
2043213001.tif,-456.0,474.0,0.03618099,4.4445457,-1.7890625,0.03515625,1.8515625
86619856_9867.tif,-456.0,474.0,-0.021477433,4.861051,-1.9609375,-0.01171875,1.9375
0012190486.tif,-456.0,474.0,-0.019396411,4.6624556,-1.9296875,-0.0126953125,1.8984375
2040464862_2040464865.tif,-456.0,474.0,0.006828725,4.713468,-1.921875,0.015625,1.953125
2063607236.tif,-456.0,474.0,-0.012509284,4.855352,-1.9609375,-0.02734375,1.90625
2071646956_6963.tif,-456.0,474.0,0.049636092,4.1389723,-1.734375,0.049804688,1.828125
timn0165856_5864.tif,-456.0,474.0,0.0054578856,4.354738,-1.8671875,0.001953125,1.875
2026456170.tif,-456.0,474.0,-0.015283972,4.953331,-2.0,0.0234375,2.046875
502473051.tif,-456.0,474.0,-0.0059641586,5.3159018,-1.984375,0.015625,2.015625
10204230_10204243.tif,-456.0,474.0,0.0033290526,4.9898458,-1.8984375,-0.0078125,1.890625
2078167430.tif,-456.0,474.0,0.0018851943,4.0858455,-1.828125,0.0,1.828125
2041719559_2041719569.tif,-456.0,474.0,-0.037888516,4.8760314,-2.0,-0.015625,1.953125
71359980.tif,-456.0,474.0,-0.037548,5.1736975,-2.078125,0.0078125,2.09375
508900289_508900298.tif,-456.0,474.0,0.0023573847,4.761423,-1.8984375,0.0,1.90625
509362734.tif,-456.0,474.0,0.0035003538,4.2288857,-1.78125,0.0078125,1.796875
0013165666.tif,-456.0,474.0,0.01352067,5.294438,-1.984375,0.015625,2.015625
2031315187.tif,-456.0,474.0,-0.030935286,5.092875,-1.984375,0.005859375,1.9765625
0001250138.tif,-456.0,474.0,-0.010558876,5.233235,-1.9765625,0.0078125,1.9921875
1000300485_1000300488.tif,-456.0,474.0,0.005012302,5.1468925,-1.9296875,-0.015625,1.90625
11311116.tif,-456.0,474.0,0.04205661,4.432581,-1.78125,0.04296875,1.859375
509189296_509189297.tif,-456.0,474.0,-0.026037985,5.3086205,-1.953125,-0.0078125,1.921875
92085878.tif,-456.0,474.0,-0.0103411805,4.695555,-1.90625,0.0,1.90625
0011854125.tif,-456.0,474.0,-0.0051856325,4.967952,-1.9453125,0.013671875,1.96875
2031312897.tif,-456.0,474.0,-0.04637714,5.183915,-2.015625,0.0078125,2.0
03530642.tif,-456.0,474.0,0.009246414,5.284286,-1.9140625,0.0,1.90625
2072185446c_5447.tif,-456.0,474.0,0.023389973,4.339678,-1.8125,0.03125,1.859375
2084110975_0976.tif,-456.0,474.0,-0.01326568,5.3541946,-2.0,-0.015625,1.9609375
87332665_2667.tif,-456.0,474.0,0.004290334,4.771059,-1.9609375,0.0234375,2.0
500743667+-3667.tif,-456.0,474.0,0.015699277,4.8682113,-1.890625,0.0078125,1.90625
1000116239_1000116243.tif,-456.0,474.0,-0.0024584383,5.189365,-1.984375,-0.015625,1.953125
0011845906.tif,-456.0,474.0,0.009656152,4.84947,-1.8515625,0.0078125,1.8671875
513280082_513280089.tif,-456.0,474.0,-0.014969085,4.875816,-1.9375,0.00390625,1.9375
0001220038.tif,-456.0,474.0,-0.0049375384,4.819523,-1.90625,0.015625,1.921875
60010253.tif,-456.0,474.0,0.012085213,4.1098657,-1.8515625,0.0234375,1.890625
509138569+-8569.tif,-456.0,474.0,-0.0039174156,5.2995305,-2.09375,0.016418457,2.125
929274.tif,-456.0,474.0,0.0030923886,4.7712965,-1.90625,0.015625,1.9453125
2058150703.tif,-456.0,474.0,-0.033734176,4.553348,-1.875,-0.0078125,1.859375
93474776_93474778.tif,-456.0,474.0,-0.025663378,4.4101214,-1.9140625,-0.0048828125,1.890625
505650071_505650073.tif,-456.0,474.0,0.0055038417,4.0475016,-1.828125,0.015625,1.8515625
2501074332.tif,-456.0,474.0,0.05484877,5.997163,-2.0625,0.0234375,2.109375
502473099.tif,-456.0,474.0,0.005707607,5.281846,-1.9609375,0.0234375,2.0
2072957747.tif,-456.0,474.0,-0.03861525,4.9244733,-1.9921875,0.0053710938,1.9921875
tob01910.47.tif,-456.0,474.0,0.030755498,5.126847,-1.9375,0.03125,2.0
1000205012_1000205013.tif,-456.0,474.0,0.038464166,5.2843156,-1.9140625,0.029296875,1.96875
91810217-b.tif,-456.0,474.0,-0.0129421,5.5926223,-2.09375,0.03125,2.140625
2501308071.tif,-456.0,474.0,-0.004461607,4.8669534,-1.9140625,-0.005859375,1.8984375
502593687.tif,-456.0,474.0,0.020320993,5.5651093,-1.96875,0.029785156,2.03125
0000472584.tif,-456.0,474.0,0.003520791,5.576562,-2.015625,0.0068359375,2.03125
513623163+-3164.tif,-456.0,474.0,-0.006849151,4.507001,-1.90625,0.0,1.8984375
2061003564.tif,-456.0,474.0,0.009511928,5.53481,-2.015625,0.0126953125,2.03125
50589601-9602.tif,-456.0,474.0,-0.009530806,5.04872,-1.984375,-0.0078125,1.96875
93497239.tif,-456.0,474.0,-0.026213584,5.1773057,-1.9921875,-0.00390625,1.9765625
2030139547_2030139549.tif,-456.0,474.0,-0.022518579,4.769787,-1.90625,0.0,1.890625
50541435-1436.tif,-456.0,474.0,-0.015979374,4.6635847,-1.953125,-0.0107421875,1.9296875
530525019+-5019.tif,-456.0,474.0,-0.050462,4.5804415,-1.9375,-0.015625,1.8984375
2057239531.tif,-456.0,474.0,-0.014360498,4.5035615,-1.8515625,0.0,1.84375
0000242312.tif,-456.0,474.0,0.035057798,4.8763003,-1.859375,0.03125,1.9296875
tob13713.91.tif,-456.0,474.0,-0.037611645,4.7552724,-1.9375,-0.018676758,1.890625
03379505_03379506.tif,-456.0,474.0,-0.00064582046,5.0995893,-1.9609375,0.0,1.9453125
2085273499.tif,-456.0,474.0,0.0355862,4.11091,-1.7734375,0.03125,1.828125
1003285770.tif,-456.0,474.0,0.022773739,5.398548,-1.96875,0.015625,2.0
50500969-0971.tif,-456.0,474.0,-0.012935418,4.315165,-1.875,-0.0078125,1.8515625
2085298345.tif,-456.0,474.0,-0.008582232,4.297523,-1.8828125,0.0,1.859375
2057418438.tif,-456.0,474.0,0.024515714,5.1576595,-1.9921875,0.03125,2.03125
2073346239.tif,-456.0,474.0,0.042721525,4.524654,-1.78125,0.040039062,1.859375
88159753_88159754.tif,-456.0,474.0,-0.02428283,4.9978266,-2.015625,-0.015625,1.984375
2043408837.tif,-456.0,474.0,-0.04148485,5.3269563,-2.015625,-0.00390625,2.0
2085699073.tif,-456.0,474.0,-0.022567522,5.0151186,-1.953125,-0.0078125,1.9375
60001528_60001539.tif,-456.0,474.0,-0.0162303,5.083799,-2.0,0.00048828125,1.9921875
okl00203.52.tif,-456.0,474.0,-0.012844415,5.0490417,-2.0,0.0234375,2.03125
517752261+-2263.tif,-456.0,474.0,0.010627325,5.3440347,-1.9765625,0.0053710938,1.984375
2030834336.tif,-456.0,474.0,0.04983708,4.3084373,-1.7578125,0.04296875,1.84375
2085181331.tif,-456.0,474.0,-0.024375573,4.899841,-1.96875,0.0,1.953125
2057679815.tif,-456.0,474.0,-0.011162422,5.390908,-1.9765625,0.015625,2.0
2048666796.tif,-456.0,474.0,0.038844135,5.2606654,-1.9296875,0.03125,2.0
2031318188.tif,-456.0,474.0,-0.008405647,5.514031,-2.0,0.0,1.984375
50656050-6050.tif,-456.0,474.0,0.0039039135,5.0917645,-2.0,-0.0146484375,1.9921875
2042276524.tif,-456.0,474.0,0.010761359,5.001308,-1.96875,0.0234375,2.0
CTRCONTRACTS022505-2.tif,-456.0,474.0,-0.010451159,5.013455,-1.9375,0.015625,1.953125
0060015920.tif,-456.0,474.0,0.03640259,4.5593357,-1.84375,0.03515625,1.9140625
528058984+-8984.tif,-456.0,474.0,0.0025656244,4.3644276,-1.8359375,0.0078125,1.8515625
2015016473.tif,-456.0,474.0,-0.029515015,5.050889,-2.0,0.015625,2.03125
2031294943.tif,-456.0,474.0,-0.043293558,5.055408,-1.953125,0.0,1.9453125
50277321-7323.tif,-456.0,474.0,-0.018235058,4.422997,-1.9375,-0.005859375,1.921875
518168164+-8170.tif,-456.0,474.0,-0.0251217,5.4938583,-2.109375,0.015625,2.125
2501333215.tif,-456.0,474.0,0.011560257,5.015891,-1.953125,0.0087890625,1.96875
2072957996.tif,-456.0,474.0,-0.000660778,5.0303273,-1.9453125,0.01171875,1.953125
2084384409_4411.tif,-456.0,474.0,-0.016507188,4.649921,-1.90625,-0.0078125,1.890625
2022972719.tif,-456.0,474.0,-0.0051263724,4.4007626,-1.890625,0.0078125,1.90625
2069731219.tif,-456.0,474.0,-0.017138187,4.7947025,-1.90625,0.015625,1.9375
03749499.tif,-456.0,474.0,0.040579606,6.0901217,-2.046875,0.015625,2.078125
2028524860_2028524862.tif,-456.0,474.0,0.039033163,5.3108287,-2.21875,-0.015625,2.1875
507594375.tif,-456.0,474.0,-0.020156423,5.0891323,-1.9609375,-0.015625,1.9140625
91311496_1497.tif,-456.0,474.0,0.0071548177,4.2877154,-1.875,0.0,1.8828125
2060528803.tif,-456.0,474.0,-0.011196435,5.037492,-1.9375,-0.0234375,1.8984375
0060256292.tif,-456.0,474.0,0.02093693,5.4981704,-2.0,0.0,2.0
0060219859.tif,-456.0,474.0,0.044321645,4.7835746,-1.7890625,0.047851562,1.8828125
tob11437.65.tif,-456.0,474.0,-0.025844378,5.4229784,-2.0,-0.03125,1.9453125
507484496.tif,-456.0,474.0,-0.04039916,5.1783204,-2.0,-0.01171875,1.96875
522976044+-6051.tif,-456.0,474.0,0.0021934141,4.6155286,-1.90625,0.0234375,1.9296875
2028939236_2028939257.tif,-456.0,474.0,0.02246585,4.4522367,-1.84375,0.02734375,1.890625
531085008+-5008.tif,-456.0,474.0,-0.01502039,4.6367126,-1.90625,-0.021484375,1.859375
71213763.tif,-456.0,474.0,-0.0070400103,5.164494,-2.015625,0.009765625,2.03125
2057410682_2057410683.tif,-456.0,474.0,-0.014399678,5.1895175,-2.078125,0.04296875,2.140625
tcal0392153.tif,-456.0,474.0,0.010384303,5.211879,-1.953125,0.02734375,1.9921875
504526150.tif,-456.0,474.0,0.008040175,5.2189384,-1.9453125,0.0087890625,1.953125
2067530126.tif,-456.0,474.0,-0.0017011025,4.498463,-1.8515625,0.0078125,1.859375
525500410+-0410.tif,-456.0,474.0,0.003416443,5.6937366,-2.046875,-0.015625,2.015625
517684394+-4397.tif,-456.0,474.0,0.021794923,4.6939163,-1.84375,0.03125,1.90625
0001139783.tif,-456.0,474.0,-0.016971441,5.178456,-1.984375,0.0078125,1.9921875
2021593729.tif,-456.0,474.0,0.03208383,4.4194303,-1.796875,0.04296875,1.875
2021350200.tif,-456.0,474.0,0.05610209,4.3634624,-1.75,0.0546875,1.859375
522649332+-9335.tif,-456.0,474.0,0.036580775,4.32982,-1.7734375,0.03515625,1.84375
2040765840.tif,-456.0,474.0,-0.011848831,4.7637343,-1.9375,0.0009765625,1.9375
530596686+-6687.tif,-456.0,474.0,0.010301896,5.034146,-1.9296875,0.015625,1.9375
518220744+-0744.tif,-456.0,474.0,0.011062631,5.795618,-2.03125,0.014160156,2.046875
2057680882.tif,-456.0,474.0,-0.022225773,5.6072783,-2.03125,0.018066406,2.046875
1005072721.tif,-456.0,474.0,-0.015318376,5.530395,-2.015625,-0.03125,1.9609375
2505406045b.tif,-456.0,474.0,0.0027207914,4.497511,-1.8359375,-0.005859375,1.828125
509409689.tif,-456.0,474.0,0.014040989,3.960656,-1.7578125,0.0234375,1.796875
524268726+-8726.tif,-456.0,474.0,0.012723908,5.000815,-1.8984375,0.0078125,1.9140625
522704557+-4558.tif,-456.0,474.0,0.020673526,4.4661036,-1.8203125,0.017578125,1.859375
2022909668.tif,-456.0,474.0,-0.013605307,5.3334255,-1.96875,0.01171875,1.9765625
2080114228.tif,-456.0,474.0,0.031659488,4.352435,-1.78125,0.033203125,1.84375
1000303505.tif,-456.0,474.0,0.0115568,4.9340415,-1.890625,0.01171875,1.9140625
524106979+-6980.tif,-456.0,474.0,0.012451248,5.5687027,-2.015625,0.0,2.0
50449235-9236.tif,-456.0,474.0,-0.016963972,4.287426,-1.8984375,0.0,1.890625
518039001_518039004.tif,-456.0,474.0,-0.029357905,4.7867723,-1.96875,-0.015625,1.9296875
501842601_501842608.tif,-456.0,474.0,-0.006317584,5.3454733,-2.0,0.015625,2.03125
92640620.tif,-456.0,474.0,-0.007970542,4.764697,-1.9140625,0.00390625,1.921875
91550518.tif,-456.0,474.0,-0.0040894947,5.22157,-2.0,0.0234375,2.03125
2057488991_2057488993.tif,-456.0,474.0,-0.0016885226,5.3483577,-1.984375,0.015625,2.015625
2708502649a_2708502649b.tif,-456.0,474.0,-0.0027385356,4.700386,-1.9375,-0.015625,1.90625
1003637364_1003637366.tif,-456.0,474.0,-0.011331256,5.0596986,-1.9375,-0.0078125,1.921875
00074314_00074321.tif,-456.0,474.0,0.030240493,4.665404,-1.890625,0.0390625,1.953125
514306031+-6031.tif,-456.0,474.0,0.013928386,5.455974,-1.984375,0.015625,2.015625
0000166270.tif,-456.0,474.0,-0.019248633,5.12151,-1.9921875,-0.001953125,1.9765625
504572084.tif,-456.0,474.0,0.016025523,5.3135943,-1.953125,0.0078125,1.9765625
528050357+-0374.tif,-456.0,474.0,-0.028612383,4.70798,-1.890625,-0.015625,1.8515625
50614749-4749.tif,-456.0,474.0,0.0065690763,4.8486423,-1.9609375,0.0,1.953125
500375148_500375149.tif,-456.0,474.0,-0.007723003,4.8257785,-1.9375,-0.016113281,1.90625
2076165183.tif,-456.0,474.0,-0.010348098,4.790384,-1.9609375,0.001953125,1.96875
2029105331.tif,-456.0,474.0,0.004302031,5.6777253,-2.109375,0.0,2.109375
501461410+-1413.tif,-456.0,474.0,0.027188545,5.1194887,-1.90625,0.03125,1.96875
2040694289.tif,-456.0,474.0,-0.017892575,4.754456,-1.953125,-0.009765625,1.921875
50406343-6344.tif,-456.0,474.0,-0.005871049,4.5708942,-1.953125,0.0078125,1.953125
0060161368.tif,-456.0,474.0,-0.0096427435,4.526984,-1.8828125,0.0,1.875
2085134873.tif,-456.0,474.0,0.034255326,4.0243316,-1.796875,0.0390625,1.859375
50064979_50064982.tif,-456.0,474.0,-0.029996654,4.554541,-1.9765625,-0.015625,1.9375
tob12516.31.tif,-456.0,474.0,-0.01989708,4.820494,-1.984375,-0.0078125,1.96875
tim00925.31.tif,-456.0,474.0,-0.019704541,4.7340326,-1.90625,-0.00390625,1.875
83838931_8932.tif,-456.0,474.0,-0.015766324,5.015376,-2.0,0.0,1.984375
2051364055.tif,-456.0,474.0,0.030591138,4.4751143,-1.7890625,0.03125,1.8515625
2070382974.tif,-456.0,474.0,0.04251651,4.372265,-1.7578125,0.044921875,1.8359375
87326828.tif,-456.0,474.0,0.0030598184,5.586547,-2.03125,0.00390625,2.03125
