vision_model.embeddings.patch_embedding	(1024, 3, 14, 14)
vision_model.encoder.layers.11.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.11.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.11.norm1	(1024,)
vision_model.encoder.layers.11.norm2	(1024,)
vision_model.encoder.layers.12.attn.qkv	(3072, 1024)
vision_model.encoder.layers.12.attn.proj	(1024, 1024)
vision_model.encoder.layers.12.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.12.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.12.norm1	(1024,)
vision_model.encoder.layers.12.norm2	(1024,)
vision_model.encoder.layers.13.attn.qkv	(3072, 1024)
vision_model.encoder.layers.13.attn.proj	(1024, 1024)
vision_model.encoder.layers.13.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.13.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.13.norm1	(1024,)
vision_model.encoder.layers.13.norm2	(1024,)
vision_model.encoder.layers.14.attn.qkv	(3072, 1024)
vision_model.encoder.layers.14.attn.proj	(1024, 1024)
vision_model.encoder.layers.14.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.14.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.14.norm1	(1024,)
vision_model.encoder.layers.14.norm2	(1024,)
vision_model.encoder.layers.15.attn.qkv	(3072, 1024)
vision_model.encoder.layers.15.attn.proj	(1024, 1024)
vision_model.encoder.layers.15.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.15.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.15.norm1	(1024,)
vision_model.encoder.layers.15.norm2	(1024,)
vision_model.encoder.layers.16.attn.qkv	(3072, 1024)
vision_model.encoder.layers.16.attn.proj	(1024, 1024)
vision_model.encoder.layers.16.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.16.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.16.norm1	(1024,)
vision_model.encoder.layers.16.norm2	(1024,)
vision_model.encoder.layers.17.attn.qkv	(3072, 1024)
vision_model.encoder.layers.17.attn.proj	(1024, 1024)
vision_model.encoder.layers.17.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.17.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.17.norm1	(1024,)
vision_model.encoder.layers.17.norm2	(1024,)
vision_model.encoder.layers.18.attn.qkv	(3072, 1024)
vision_model.encoder.layers.18.attn.proj	(1024, 1024)
vision_model.encoder.layers.18.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.18.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.18.norm1	(1024,)
vision_model.encoder.layers.18.norm2	(1024,)
vision_model.encoder.layers.19.attn.qkv	(3072, 1024)
vision_model.encoder.layers.19.attn.proj	(1024, 1024)
vision_model.encoder.layers.19.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.19.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.19.norm1	(1024,)
vision_model.encoder.layers.19.norm2	(1024,)
vision_model.encoder.layers.20.attn.qkv	(3072, 1024)
vision_model.encoder.layers.20.attn.proj	(1024, 1024)
vision_model.encoder.layers.20.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.20.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.20.norm1	(1024,)
vision_model.encoder.layers.20.norm2	(1024,)
vision_model.encoder.layers.21.attn.qkv	(3072, 1024)
vision_model.encoder.layers.21.attn.proj	(1024, 1024)
vision_model.encoder.layers.21.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.21.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.21.norm1	(1024,)
vision_model.encoder.layers.21.norm2	(1024,)
vision_model.encoder.layers.22.attn.qkv	(3072, 1024)
vision_model.encoder.layers.22.attn.proj	(1024, 1024)
vision_model.encoder.layers.22.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.22.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.22.norm1	(1024,)
vision_model.encoder.layers.22.norm2	(1024,)
vision_model.encoder.layers.23.attn.qkv	(3072, 1024)
vision_model.encoder.layers.23.attn.proj	(1024, 1024)
vision_model.encoder.layers.23.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.23.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.23.norm1	(1024,)
vision_model.encoder.layers.23.norm2	(1024,)
language_model.model.embed_tokens	(151674, 1536)
language_model.model.layers.0.self_attn.q_proj	(1536, 1536)
language_model.model.layers.0.self_attn.k_proj	(256, 1536)
language_model.model.layers.0.self_attn.v_proj	(256, 1536)
language_model.model.layers.0.self_attn.o_proj	(1536, 1536)
language_model.model.layers.0.mlp.gate_proj	(8960, 1536)
language_model.model.layers.0.mlp.up_proj	(8960, 1536)
language_model.model.layers.0.mlp.down_proj	(1536, 8960)
language_model.model.layers.0.input_layernorm	(1536,)
language_model.model.layers.0.post_attention_layernorm	(1536,)
language_model.model.layers.1.self_attn.q_proj	(1536, 1536)
language_model.model.layers.1.self_attn.k_proj	(256, 1536)
language_model.model.layers.1.self_attn.v_proj	(256, 1536)
language_model.model.layers.1.self_attn.o_proj	(1536, 1536)
language_model.model.layers.1.mlp.gate_proj	(8960, 1536)
language_model.model.layers.1.mlp.up_proj	(8960, 1536)
language_model.model.layers.1.mlp.down_proj	(1536, 8960)
language_model.model.layers.1.input_layernorm	(1536,)
language_model.model.layers.1.post_attention_layernorm	(1536,)
language_model.model.layers.2.self_attn.q_proj	(1536, 1536)
language_model.model.layers.2.self_attn.k_proj	(256, 1536)
language_model.model.layers.2.self_attn.v_proj	(256, 1536)
language_model.model.layers.2.self_attn.o_proj	(1536, 1536)
language_model.model.layers.2.mlp.gate_proj	(8960, 1536)
language_model.model.layers.2.mlp.up_proj	(8960, 1536)
language_model.model.layers.2.mlp.down_proj	(1536, 8960)
language_model.model.layers.2.input_layernorm	(1536,)
language_model.model.layers.2.post_attention_layernorm	(1536,)
language_model.model.layers.3.self_attn.q_proj	(1536, 1536)
language_model.model.layers.3.self_attn.k_proj	(256, 1536)
language_model.model.layers.3.self_attn.v_proj	(256, 1536)
language_model.model.layers.3.self_attn.o_proj	(1536, 1536)
language_model.model.layers.3.mlp.gate_proj	(8960, 1536)
language_model.model.layers.3.mlp.up_proj	(8960, 1536)
language_model.model.layers.3.mlp.down_proj	(1536, 8960)
language_model.model.layers.3.input_layernorm	(1536,)
language_model.model.layers.3.post_attention_layernorm	(1536,)
language_model.model.layers.4.self_attn.q_proj	(1536, 1536)
language_model.model.layers.4.self_attn.k_proj	(256, 1536)
language_model.model.layers.4.self_attn.v_proj	(256, 1536)
language_model.model.layers.4.self_attn.o_proj	(1536, 1536)
language_model.model.layers.4.mlp.gate_proj	(8960, 1536)
language_model.model.layers.4.mlp.up_proj	(8960, 1536)
language_model.model.layers.4.mlp.down_proj	(1536, 8960)
language_model.model.layers.4.input_layernorm	(1536,)
language_model.model.layers.4.post_attention_layernorm	(1536,)
language_model.model.layers.5.self_attn.q_proj	(1536, 1536)
language_model.model.layers.5.self_attn.k_proj	(256, 1536)
language_model.model.layers.5.self_attn.v_proj	(256, 1536)
language_model.model.layers.5.self_attn.o_proj	(1536, 1536)
language_model.model.layers.5.mlp.gate_proj	(8960, 1536)
language_model.model.layers.5.mlp.up_proj	(8960, 1536)
language_model.model.layers.5.mlp.down_proj	(1536, 8960)
language_model.model.layers.5.input_layernorm	(1536,)
language_model.model.layers.5.post_attention_layernorm	(1536,)
language_model.model.layers.6.self_attn.q_proj	(1536, 1536)
language_model.model.layers.6.self_attn.k_proj	(256, 1536)
language_model.model.layers.6.self_attn.v_proj	(256, 1536)
language_model.model.layers.6.self_attn.o_proj	(1536, 1536)
language_model.model.layers.6.mlp.gate_proj	(8960, 1536)
language_model.model.layers.6.mlp.up_proj	(8960, 1536)
language_model.model.layers.6.mlp.down_proj	(1536, 8960)
language_model.model.layers.6.input_layernorm	(1536,)
language_model.model.layers.6.post_attention_layernorm	(1536,)
language_model.model.layers.7.self_attn.q_proj	(1536, 1536)
language_model.model.layers.7.self_attn.k_proj	(256, 1536)
language_model.model.layers.7.self_attn.v_proj	(256, 1536)
language_model.model.layers.7.self_attn.o_proj	(1536, 1536)
language_model.model.layers.7.mlp.gate_proj	(8960, 1536)
language_model.model.layers.7.mlp.up_proj	(8960, 1536)
language_model.model.layers.7.mlp.down_proj	(1536, 8960)
language_model.model.layers.7.input_layernorm	(1536,)
language_model.model.layers.7.post_attention_layernorm	(1536,)
language_model.model.layers.8.self_attn.q_proj	(1536, 1536)
language_model.model.layers.8.self_attn.k_proj	(256, 1536)
language_model.model.layers.8.self_attn.v_proj	(256, 1536)
language_model.model.layers.8.self_attn.o_proj	(1536, 1536)
language_model.model.layers.8.mlp.gate_proj	(8960, 1536)
language_model.model.layers.8.mlp.up_proj	(8960, 1536)
language_model.model.layers.8.mlp.down_proj	(1536, 8960)
language_model.model.layers.8.input_layernorm	(1536,)
language_model.model.layers.8.post_attention_layernorm	(1536,)
language_model.model.layers.9.self_attn.q_proj	(1536, 1536)
language_model.model.layers.9.self_attn.k_proj	(256, 1536)
language_model.model.layers.9.self_attn.v_proj	(256, 1536)
language_model.model.layers.9.self_attn.o_proj	(1536, 1536)
language_model.model.layers.9.mlp.gate_proj	(8960, 1536)
language_model.model.layers.9.mlp.up_proj	(8960, 1536)
language_model.model.layers.9.mlp.down_proj	(1536, 8960)
language_model.model.layers.9.input_layernorm	(1536,)
language_model.model.layers.9.post_attention_layernorm	(1536,)
language_model.model.layers.10.self_attn.q_proj	(1536, 1536)
language_model.model.layers.10.self_attn.k_proj	(256, 1536)
language_model.model.layers.10.self_attn.v_proj	(256, 1536)
language_model.model.layers.10.self_attn.o_proj	(1536, 1536)
language_model.model.layers.10.mlp.gate_proj	(8960, 1536)
language_model.model.layers.10.mlp.up_proj	(8960, 1536)
language_model.model.layers.10.mlp.down_proj	(1536, 8960)
language_model.model.layers.10.input_layernorm	(1536,)
language_model.model.layers.10.post_attention_layernorm	(1536,)
language_model.model.layers.11.self_attn.q_proj	(1536, 1536)
language_model.model.layers.11.self_attn.k_proj	(256, 1536)
language_model.model.layers.11.self_attn.v_proj	(256, 1536)
language_model.model.layers.11.self_attn.o_proj	(1536, 1536)
language_model.model.layers.11.mlp.gate_proj	(8960, 1536)
language_model.model.layers.11.mlp.up_proj	(8960, 1536)
language_model.model.layers.11.mlp.down_proj	(1536, 8960)
language_model.model.layers.11.input_layernorm	(1536,)
language_model.model.layers.11.post_attention_layernorm	(1536,)
language_model.model.layers.12.self_attn.q_proj	(1536, 1536)
language_model.model.layers.12.self_attn.k_proj	(256, 1536)
language_model.model.layers.12.self_attn.v_proj	(256, 1536)
language_model.model.layers.12.self_attn.o_proj	(1536, 1536)
language_model.model.layers.12.mlp.gate_proj	(8960, 1536)
language_model.model.layers.12.mlp.up_proj	(8960, 1536)
language_model.model.layers.12.mlp.down_proj	(1536, 8960)
language_model.model.layers.12.input_layernorm	(1536,)
language_model.model.layers.12.post_attention_layernorm	(1536,)
language_model.model.layers.13.self_attn.q_proj	(1536, 1536)
language_model.model.layers.13.self_attn.k_proj	(256, 1536)
language_model.model.layers.13.self_attn.v_proj	(256, 1536)
language_model.model.layers.13.self_attn.o_proj	(1536, 1536)
language_model.model.layers.13.mlp.gate_proj	(8960, 1536)
language_model.model.layers.13.mlp.up_proj	(8960, 1536)
language_model.model.layers.13.mlp.down_proj	(1536, 8960)
language_model.model.layers.13.input_layernorm	(1536,)
language_model.model.layers.13.post_attention_layernorm	(1536,)
language_model.model.layers.14.self_attn.q_proj	(1536, 1536)
language_model.model.layers.14.self_attn.k_proj	(256, 1536)
language_model.model.layers.14.self_attn.v_proj	(256, 1536)
language_model.model.layers.14.self_attn.o_proj	(1536, 1536)
language_model.model.layers.14.mlp.gate_proj	(8960, 1536)
language_model.model.layers.14.mlp.up_proj	(8960, 1536)
language_model.model.layers.14.mlp.down_proj	(1536, 8960)
language_model.model.layers.14.input_layernorm	(1536,)
language_model.model.layers.14.post_attention_layernorm	(1536,)
language_model.model.layers.15.self_attn.q_proj	(1536, 1536)
language_model.model.layers.15.self_attn.k_proj	(256, 1536)
language_model.model.layers.15.self_attn.v_proj	(256, 1536)
language_model.model.layers.15.self_attn.o_proj	(1536, 1536)
language_model.model.layers.15.mlp.gate_proj	(8960, 1536)
language_model.model.layers.15.mlp.up_proj	(8960, 1536)
language_model.model.layers.15.mlp.down_proj	(1536, 8960)
language_model.model.layers.15.input_layernorm	(1536,)
language_model.model.layers.15.post_attention_layernorm	(1536,)
language_model.model.layers.16.self_attn.q_proj	(1536, 1536)
language_model.model.layers.16.self_attn.k_proj	(256, 1536)
language_model.model.layers.16.self_attn.v_proj	(256, 1536)
language_model.model.layers.16.self_attn.o_proj	(1536, 1536)
language_model.model.layers.16.mlp.gate_proj	(8960, 1536)
language_model.model.layers.16.mlp.up_proj	(8960, 1536)
language_model.model.layers.16.mlp.down_proj	(1536, 8960)
language_model.model.layers.16.input_layernorm	(1536,)
language_model.model.layers.16.post_attention_layernorm	(1536,)
language_model.model.layers.17.self_attn.q_proj	(1536, 1536)
language_model.model.layers.17.self_attn.k_proj	(256, 1536)
language_model.model.layers.17.self_attn.v_proj	(256, 1536)
language_model.model.layers.17.self_attn.o_proj	(1536, 1536)
language_model.model.layers.17.mlp.gate_proj	(8960, 1536)
language_model.model.layers.17.mlp.up_proj	(8960, 1536)
language_model.model.layers.17.mlp.down_proj	(1536, 8960)
language_model.model.layers.17.input_layernorm	(1536,)
language_model.model.layers.17.post_attention_layernorm	(1536,)
language_model.model.layers.18.self_attn.q_proj	(1536, 1536)
language_model.model.layers.18.self_attn.k_proj	(256, 1536)
language_model.model.layers.18.self_attn.v_proj	(256, 1536)
language_model.model.layers.18.self_attn.o_proj	(1536, 1536)
language_model.model.layers.18.mlp.gate_proj	(8960, 1536)
language_model.model.layers.18.mlp.up_proj	(8960, 1536)
language_model.model.layers.18.mlp.down_proj	(1536, 8960)
language_model.model.layers.18.input_layernorm	(1536,)
language_model.model.layers.18.post_attention_layernorm	(1536,)
language_model.model.layers.19.self_attn.q_proj	(1536, 1536)
language_model.model.layers.19.self_attn.k_proj	(256, 1536)
language_model.model.layers.19.self_attn.v_proj	(256, 1536)
language_model.model.layers.19.self_attn.o_proj	(1536, 1536)
language_model.model.layers.19.mlp.gate_proj	(8960, 1536)
language_model.model.layers.19.mlp.up_proj	(8960, 1536)
language_model.model.layers.19.mlp.down_proj	(1536, 8960)
language_model.model.layers.19.input_layernorm	(1536,)
language_model.model.layers.19.post_attention_layernorm	(1536,)
language_model.model.layers.20.self_attn.q_proj	(1536, 1536)
language_model.model.layers.20.self_attn.k_proj	(256, 1536)
language_model.model.layers.20.self_attn.v_proj	(256, 1536)
language_model.model.layers.20.self_attn.o_proj	(1536, 1536)
language_model.model.layers.20.mlp.gate_proj	(8960, 1536)
language_model.model.layers.20.mlp.up_proj	(8960, 1536)
language_model.model.layers.20.mlp.down_proj	(1536, 8960)
language_model.model.layers.20.input_layernorm	(1536,)
language_model.model.layers.20.post_attention_layernorm	(1536,)
language_model.model.layers.21.self_attn.q_proj	(1536, 1536)
language_model.model.layers.21.self_attn.k_proj	(256, 1536)
language_model.model.layers.21.self_attn.v_proj	(256, 1536)
language_model.model.layers.21.self_attn.o_proj	(1536, 1536)
language_model.model.layers.21.mlp.gate_proj	(8960, 1536)
language_model.model.layers.21.mlp.up_proj	(8960, 1536)
language_model.model.layers.21.mlp.down_proj	(1536, 8960)
language_model.model.layers.21.input_layernorm	(1536,)
language_model.model.layers.21.post_attention_layernorm	(1536,)
language_model.model.layers.22.self_attn.q_proj	(1536, 1536)
language_model.model.layers.22.self_attn.k_proj	(256, 1536)
language_model.model.layers.22.self_attn.v_proj	(256, 1536)
language_model.model.layers.22.self_attn.o_proj	(1536, 1536)
language_model.model.layers.22.mlp.gate_proj	(8960, 1536)
language_model.model.layers.22.mlp.up_proj	(8960, 1536)
language_model.model.layers.22.mlp.down_proj	(1536, 8960)
language_model.model.layers.22.input_layernorm	(1536,)
language_model.model.layers.22.post_attention_layernorm	(1536,)
language_model.model.layers.23.self_attn.q_proj	(1536, 1536)
language_model.model.layers.23.self_attn.k_proj	(256, 1536)
language_model.model.layers.23.self_attn.v_proj	(256, 1536)
language_model.model.layers.23.self_attn.o_proj	(1536, 1536)
language_model.model.layers.23.mlp.gate_proj	(8960, 1536)
language_model.model.layers.23.mlp.up_proj	(8960, 1536)
language_model.model.layers.23.mlp.down_proj	(1536, 8960)
language_model.model.layers.23.input_layernorm	(1536,)
language_model.model.layers.23.post_attention_layernorm	(1536,)
language_model.model.layers.24.self_attn.q_proj	(1536, 1536)
language_model.model.layers.24.self_attn.k_proj	(256, 1536)
language_model.model.layers.24.self_attn.v_proj	(256, 1536)
language_model.model.layers.24.self_attn.o_proj	(1536, 1536)
language_model.model.layers.24.mlp.gate_proj	(8960, 1536)
language_model.model.layers.24.mlp.up_proj	(8960, 1536)
language_model.model.layers.24.mlp.down_proj	(1536, 8960)
language_model.model.layers.24.input_layernorm	(1536,)
language_model.model.layers.24.post_attention_layernorm	(1536,)
language_model.model.layers.25.self_attn.q_proj	(1536, 1536)
language_model.model.layers.25.self_attn.k_proj	(256, 1536)
language_model.model.layers.25.self_attn.v_proj	(256, 1536)
language_model.model.layers.25.self_attn.o_proj	(1536, 1536)
language_model.model.layers.25.mlp.gate_proj	(8960, 1536)
language_model.model.layers.25.mlp.up_proj	(8960, 1536)
language_model.model.layers.25.mlp.down_proj	(1536, 8960)
language_model.model.layers.25.input_layernorm	(1536,)
language_model.model.layers.25.post_attention_layernorm	(1536,)
language_model.model.layers.26.self_attn.q_proj	(1536, 1536)
language_model.model.layers.26.self_attn.k_proj	(256, 1536)
language_model.model.layers.26.self_attn.v_proj	(256, 1536)
language_model.model.layers.26.self_attn.o_proj	(1536, 1536)
language_model.model.layers.26.mlp.gate_proj	(8960, 1536)
language_model.model.layers.26.mlp.up_proj	(8960, 1536)
language_model.model.layers.26.mlp.down_proj	(1536, 8960)
language_model.model.layers.26.input_layernorm	(1536,)
language_model.model.layers.26.post_attention_layernorm	(1536,)
language_model.model.layers.27.self_attn.q_proj	(1536, 1536)
language_model.model.layers.27.self_attn.k_proj	(256, 1536)
language_model.model.layers.27.self_attn.v_proj	(256, 1536)
language_model.model.layers.27.self_attn.o_proj	(1536, 1536)
language_model.model.layers.27.mlp.gate_proj	(8960, 1536)
language_model.model.layers.27.mlp.up_proj	(8960, 1536)
language_model.model.layers.27.mlp.down_proj	(1536, 8960)
language_model.model.layers.27.input_layernorm	(1536,)
language_model.model.layers.27.post_attention_layernorm	(1536,)
language_model.model.norm	(1536,)
language_model.lm_head	(151674, 1536)
mlp1.0	(4096,)
mlp1.1	(1536, 4096)
mlp1.3	(1536, 1536)
