file_a_name,file_b_name,class_a_name,class_b_name,file_a_path,file_b_path,is_equal
88132057.tif,2063846883.tif,invoice,file_folder,train/invoice/88132057.tif,train/file_folder/2063846883.tif,0
50615769-5770.tif,24012435.tif,resume,budget,train/resume/50615769-5770.tif,train/budget/24012435.tif,0
CTRCONTRACTS022505-2.tif,85628866.tif,invoice,news_article,train/invoice/CTRCONTRACTS022505-2.tif,train/news_article/85628866.tif,0
2028695957.tif,0071008430.tif,invoice,memo,train/invoice/2028695957.tif,train/memo/0071008430.tif,0
514306031+-6031.tif,2073326100.tif,advertisement,file_folder,train/advertisement/514306031+-6031.tif,train/file_folder/2073326100.tif,0
89388876_8884.tif,2040947740.tif,scientific_report,scientific_report,train/scientific_report/89388876_8884.tif,train/scientific_report/2040947740.tif,1
11299947-9949.tif,10393366.tif,resume,resume,train/resume/11299947-9949.tif,train/resume/10393366.tif,1
0071007430.tif,80234299_80234302.tif,presentation,invoice,train/presentation/0071007430.tif,train/invoice/80234299_80234302.tif,0
1000827638.tif,0060035364.tif,memo,memo,train/memo/1000827638.tif,train/memo/0060035364.tif,1
0001490971.tif,1005100713.tif,presentation,news_article,train/presentation/0001490971.tif,train/news_article/1005100713.tif,0
89227803_7804.tif,2060064062.tif,presentation,file_folder,train/presentation/89227803_7804.tif,train/file_folder/2060064062.tif,0
0060174322.tif,50595966-5966.tif,file_folder,file_folder,train/file_folder/0060174322.tif,train/file_folder/50595966-5966.tif,1
1000131077_1000131079.tif,2040475688.tif,invoice,memo,train/invoice/1000131077_1000131079.tif,train/memo/2040475688.tif,0
1003196301.tif,50500969-0971.tif,invoice,resume,train/invoice/1003196301.tif,train/resume/50500969-0971.tif,0
503961852+-1852.tif,2026390413_0415.tif,advertisement,scientific_report,train/advertisement/503961852+-1852.tif,train/scientific_report/2026390413_0415.tif,0
18004841.tif,98848129.tif,budget,budget,train/budget/18004841.tif,train/budget/98848129.tif,1
50449235-9236.tif,50673064-3065.tif,resume,resume,train/resume/50449235-9236.tif,train/resume/50673064-3065.tif,1
2029066547.tif,88523691.tif,scientific_report,scientific_report,train/scientific_report/2029066547.tif,train/scientific_report/88523691.tif,1
11314536_11314537.tif,2048277831.tif,scientific_publication,news_article,train/scientific_publication/11314536_11314537.tif,train/news_article/2048277831.tif,0
50614749-4749.tif,2501572432_2501572434.tif,resume,scientific_report,train/resume/50614749-4749.tif,train/scientific_report/2501572432_2501572434.tif,0
2030139547_2030139549.tif,2001116851.tif,scientific_report,scientific_report,train/scientific_report/2030139547_2030139549.tif,train/scientific_report/2001116851.tif,1
03337818_7819.tif,01409351.tif,questionnaire,budget,train/questionnaire/03337818_7819.tif,train/budget/01409351.tif,0
2024608123_8132.tif,2021580182_2021580191.tif,scientific_report,scientific_report,train/scientific_report/2024608123_8132.tif,train/scientific_report/2021580182_2021580191.tif,1
2076337104_7135.tif,92248193.tif,presentation,invoice,train/presentation/2076337104_7135.tif,train/invoice/92248193.tif,0
93444211.tif,2028524860_2028524862.tif,file_folder,scientific_report,train/file_folder/93444211.tif,train/scientific_report/2028524860_2028524862.tif,0
60038475_60038491.tif,1003196301.tif,scientific_publication,invoice,train/scientific_publication/60038475_60038491.tif,train/invoice/1003196301.tif,0
2040192232.tif,2501091720.tif,questionnaire,scientific_report,train/questionnaire/2040192232.tif,train/scientific_report/2501091720.tif,0
2076512976.tif,2022186568_2022186569.tif,scientific_report,scientific_report,train/scientific_report/2076512976.tif,train/scientific_report/2022186568_2022186569.tif,1
50634458-4475.tif,50421595-1596.tif,scientific_publication,resume,train/scientific_publication/50634458-4475.tif,train/resume/50421595-1596.tif,0
10399101.tif,50655545-5546.tif,resume,resume,train/resume/10399101.tif,train/resume/50655545-5546.tif,1
2025851823.tif,2083790714.tif,news_article,news_article,train/news_article/2025851823.tif,train/news_article/2083790714.tif,1
50282589.tif,2050381594.tif,file_folder,file_folder,train/file_folder/50282589.tif,train/file_folder/2050381594.tif,1
2026194551.tif,0060082689.tif,advertisement,file_folder,train/advertisement/2026194551.tif,train/file_folder/0060082689.tif,0
2072010820_0823.tif,2022208535_2022208537.tif,presentation,presentation,train/presentation/2072010820_0823.tif,train/presentation/2022208535_2022208537.tif,1
tcal0413617.tif,0012534547.tif,presentation,memo,train/presentation/tcal0413617.tif,train/memo/0012534547.tif,0
2031315187.tif,2057418438.tif,specification,specification,train/specification/2031315187.tif,train/specification/2057418438.tif,1
2045342781_2045342783.tif,tcal0134271_4272.tif,budget,budget,train/budget/2045342781_2045342783.tif,train/budget/tcal0134271_4272.tif,1
500761773.tif,85701250.tif,invoice,budget,train/invoice/500761773.tif,train/budget/85701250.tif,0
502592372.tif,505858555.tif,advertisement,questionnaire,train/advertisement/502592372.tif,train/questionnaire/505858555.tif,0
513280082_513280089.tif,50312267-2268.tif,invoice,resume,train/invoice/513280082_513280089.tif,train/resume/50312267-2268.tif,0
10421352_10421367.tif,2058502784.tif,scientific_publication,advertisement,train/scientific_publication/10421352_10421367.tif,train/advertisement/2058502784.tif,0
517077207.tif,50606718-6719.tif,questionnaire,resume,train/questionnaire/517077207.tif,train/resume/50606718-6719.tif,0
92053426.tif,10202465_10202470.tif,presentation,scientific_report,train/presentation/92053426.tif,train/scientific_report/10202465_10202470.tif,0
518253522+-3527.tif,2084020329.tif,invoice,invoice,train/invoice/518253522+-3527.tif,train/invoice/2084020329.tif,1
2057658732.tif,2015016473.tif,specification,invoice,train/specification/2057658732.tif,train/invoice/2015016473.tif,0
2062554968_2062554975.tif,1001526153_1001526155.tif,scientific_report,scientific_report,train/scientific_report/2062554968_2062554975.tif,train/scientific_report/1001526153_1001526155.tif,1
2029370304.tif,88132057.tif,invoice,invoice,train/invoice/2029370304.tif,train/invoice/88132057.tif,1
2060927120_7176.tif,50497330-7331.tif,presentation,resume,train/presentation/2060927120_7176.tif,train/resume/50497330-7331.tif,0
507740951.tif,1003638096_1003638099.tif,questionnaire,questionnaire,train/questionnaire/507740951.tif,train/questionnaire/1003638096_1003638099.tif,1
504560158+-0158.tif,2505487720_7726.tif,specification,scientific_publication,train/specification/504560158+-0158.tif,train/scientific_publication/2505487720_7726.tif,0
2505467803_7810.tif,10356872_10356879.tif,scientific_publication,scientific_publication,train/scientific_publication/2505467803_7810.tif,train/scientific_publication/10356872_10356879.tif,1
2030623391.tif,0011989322.tif,file_folder,questionnaire,train/file_folder/2030623391.tif,train/questionnaire/0011989322.tif,0
2057466926_2057466927.tif,2057124574_4576.tif,specification,scientific_report,train/specification/2057466926_2057466927.tif,train/scientific_report/2057124574_4576.tif,0
2047938957.tif,2073352218.tif,advertisement,advertisement,train/advertisement/2047938957.tif,train/advertisement/2073352218.tif,1
91771091.tif,50609867-9868.tif,invoice,resume,train/invoice/91771091.tif,train/resume/50609867-9868.tif,0
2057672002.tif,2031312897.tif,specification,specification,train/specification/2057672002.tif,train/specification/2031312897.tif,1
2071566921.tif,1003542937-a.tif,news_article,news_article,train/news_article/2071566921.tif,train/news_article/1003542937-a.tif,1
2023230421_2023230422.tif,50609867-9868.tif,resume,resume,train/resume/2023230421_2023230422.tif,train/resume/50609867-9868.tif,1
511283070.tif,2021619883_2021619886.tif,specification,scientific_publication,train/specification/511283070.tif,train/scientific_publication/2021619883_2021619886.tif,0
1003066483.tif,2070478603.tif,news_article,file_folder,train/news_article/1003066483.tif,train/file_folder/2070478603.tif,0
2076452714_2715.tif,87148148.tif,presentation,invoice,train/presentation/2076452714_2715.tif,train/invoice/87148148.tif,0
1000766022.tif,84006863.tif,memo,memo,train/memo/1000766022.tif,train/memo/84006863.tif,1
92053426.tif,2082452094_2104.tif,presentation,presentation,train/presentation/92053426.tif,train/presentation/2082452094_2104.tif,1
0001139727.tif,524389244+-9245.tif,invoice,questionnaire,train/invoice/0001139727.tif,train/questionnaire/524389244+-9245.tif,0
87147722.tif,0000049687.tif,invoice,budget,train/invoice/87147722.tif,train/budget/0000049687.tif,0
87103743.tif,2028710766.tif,invoice,invoice,train/invoice/87103743.tif,train/invoice/2028710766.tif,1
504686851.tif,1002402501-a.tif,advertisement,news_article,train/advertisement/504686851.tif,train/news_article/1002402501-a.tif,0
2078845437_5439.tif,50609871-9872.tif,presentation,resume,train/presentation/2078845437_5439.tif,train/resume/50609871-9872.tif,0
50282589.tif,0060106471.tif,file_folder,file_folder,train/file_folder/50282589.tif,train/file_folder/0060106471.tif,1
502591793.tif,2058500683.tif,advertisement,advertisement,train/advertisement/502591793.tif,train/advertisement/2058500683.tif,1
0000488790.tif,96355018.tif,budget,budget,train/budget/0000488790.tif,train/budget/96355018.tif,1
2070711640_1641.tif,0030046360.tif,advertisement,advertisement,train/advertisement/2070711640_1641.tif,train/advertisement/0030046360.tif,1
92704828.tif,87808940_87808951.tif,advertisement,resume,train/advertisement/92704828.tif,train/resume/87808940_87808951.tif,0
2051674178_2051674179.tif,2044815683.tif,budget,budget,train/budget/2051674178_2051674179.tif,train/budget/2044815683.tif,1
522626100+-6102.tif,524389246+-9247.tif,questionnaire,questionnaire,train/questionnaire/522626100+-6102.tif,train/questionnaire/524389246+-9247.tif,1
504552558.tif,91731112.tif,specification,scientific_publication,train/specification/504552558.tif,train/scientific_publication/91731112.tif,0
ti17160198.tif,2065316891_6898.tif,news_article,news_article,train/news_article/ti17160198.tif,train/news_article/2065316891_6898.tif,1
0000344444.tif,71387783.tif,advertisement,advertisement,train/advertisement/0000344444.tif,train/advertisement/71387783.tif,1
2063607236.tif,1000269174.tif,scientific_publication,resume,train/scientific_publication/2063607236.tif,train/resume/1000269174.tif,0
505526301_505526315.tif,524389246+-9247.tif,questionnaire,questionnaire,train/questionnaire/505526301_505526315.tif,train/questionnaire/524389246+-9247.tif,1
522626100+-6102.tif,2042292873_2042292886.tif,questionnaire,questionnaire,train/questionnaire/522626100+-6102.tif,train/questionnaire/2042292873_2042292886.tif,1
2058500683.tif,513924881+-4887.tif,advertisement,advertisement,train/advertisement/2058500683.tif,train/advertisement/513924881+-4887.tif,1
513284191_513284198.tif,2071710203.tif,invoice,news_article,train/invoice/513284191_513284198.tif,train/news_article/2071710203.tif,0
2074468020_8037.tif,2072855251.tif,presentation,file_folder,train/presentation/2074468020_8037.tif,train/file_folder/2072855251.tif,0
2043408837.tif,1003369545.tif,memo,scientific_report,train/memo/2043408837.tif,train/scientific_report/1003369545.tif,0
85649908.tif,2053475868_2053475869.tif,invoice,scientific_report,train/invoice/85649908.tif,train/scientific_report/2053475868_2053475869.tif,0
00619217.tif,2084533156.tif,news_article,news_article,train/news_article/00619217.tif,train/news_article/2084533156.tif,1
10393366.tif,2040796557.tif,resume,budget,train/resume/10393366.tif,train/budget/2040796557.tif,0
ti15269213_9214.tif,87148148.tif,invoice,invoice,train/invoice/ti15269213_9214.tif,train/invoice/87148148.tif,1
2060537452_2060537453.tif,ton01625.55_ton01625.56.tif,news_article,news_article,train/news_article/2060537452_2060537453.tif,train/news_article/ton01625.55_ton01625.56.tif,1
86402039_2055.tif,0000452162.tif,budget,budget,train/budget/86402039_2055.tif,train/budget/0000452162.tif,1
71200766.tif,2023269968.tif,advertisement,news_article,train/advertisement/71200766.tif,train/news_article/2023269968.tif,0
24013326.tif,0000252877.tif,budget,budget,train/budget/24013326.tif,train/budget/0000252877.tif,1
89001534.tif,0060094186.tif,invoice,memo,train/invoice/89001534.tif,train/memo/0060094186.tif,0
2058000115.tif,2010009792.tif,memo,memo,train/memo/2058000115.tif,train/memo/2010009792.tif,1
87839078.tif,2501558518.tif,scientific_report,scientific_report,train/scientific_report/87839078.tif,train/scientific_report/2501558518.tif,1
1001763646_1001763648.tif,2063122298.tif,scientific_report,scientific_report,train/scientific_report/1001763646_1001763648.tif,train/scientific_report/2063122298.tif,1
94030027.tif,2040771551.tif,advertisement,budget,train/advertisement/94030027.tif,train/budget/2040771551.tif,0
2051227218.tif,2022972719.tif,file_folder,memo,train/file_folder/2051227218.tif,train/memo/2022972719.tif,0
88131489.tif,88132057.tif,invoice,invoice,train/invoice/88131489.tif,train/invoice/88132057.tif,1
50612835-2835.tif,tob15020.41_tob15020.45.tif,scientific_publication,budget,train/scientific_publication/50612835-2835.tif,train/budget/tob15020.41_tob15020.45.tif,0
ti16311064.tif,0060051279.tif,invoice,invoice,train/invoice/ti16311064.tif,train/invoice/0060051279.tif,1
2071197641.tif,18005149.tif,invoice,budget,train/invoice/2071197641.tif,train/budget/18005149.tif,0
11006967.tif,2041719457.tif,budget,budget,train/budget/11006967.tif,train/budget/2041719457.tif,1
0000227939.tif,40013740-3741.tif,questionnaire,resume,train/questionnaire/0000227939.tif,train/resume/40013740-3741.tif,0
0011918144.tif,2058504582.tif,advertisement,advertisement,train/advertisement/0011918144.tif,train/advertisement/2058504582.tif,1
0011918144.tif,2076203831.tif,advertisement,memo,train/advertisement/0011918144.tif,train/memo/2076203831.tif,0
50348016-8019.tif,10189021_10189030.tif,scientific_publication,scientific_publication,train/scientific_publication/50348016-8019.tif,train/scientific_publication/10189021_10189030.tif,1
2069721548.tif,509409689.tif,specification,specification,train/specification/2069721548.tif,train/specification/509409689.tif,1
509409689.tif,0011934314.tif,specification,memo,train/specification/509409689.tif,train/memo/0011934314.tif,0
502599367.tif,2048499416.tif,advertisement,advertisement,train/advertisement/502599367.tif,train/advertisement/2048499416.tif,1
2063607236.tif,0011989322.tif,scientific_publication,questionnaire,train/scientific_publication/2063607236.tif,train/questionnaire/0011989322.tif,0
0060221978.tif,1000052005.tif,memo,memo,train/memo/0060221978.tif,train/memo/1000052005.tif,1
40023553-3553.tif,98632187.tif,file_folder,file_folder,train/file_folder/40023553-3553.tif,train/file_folder/98632187.tif,1
0060281109.tif,501299822.tif,invoice,questionnaire,train/invoice/0060281109.tif,train/questionnaire/501299822.tif,0
0000223148.tif,tob07125.85_tob07125.86.tif,budget,budget,train/budget/0000223148.tif,train/budget/tob07125.85_tob07125.86.tif,1
2048277831.tif,50470711-0711.tif,news_article,file_folder,train/news_article/2048277831.tif,train/file_folder/50470711-0711.tif,0
12868762.tif,50484211-4212.tif,advertisement,resume,train/advertisement/12868762.tif,train/resume/50484211-4212.tif,0
1002484308_1002484309.tif,0001250138.tif,questionnaire,questionnaire,train/questionnaire/1002484308_1002484309.tif,train/questionnaire/0001250138.tif,1
2074468020_8037.tif,2025849579_2025849580.tif,presentation,presentation,train/presentation/2074468020_8037.tif,train/presentation/2025849579_2025849580.tif,1
522976044+-6051.tif,2065261159_1178.tif,specification,questionnaire,train/specification/522976044+-6051.tif,train/questionnaire/2065261159_1178.tif,0
01133083.tif,85875800.tif,presentation,news_article,train/presentation/01133083.tif,train/news_article/85875800.tif,0
PUBLICATIONS058278-8.tif,10423675_10423682.tif,scientific_publication,scientific_publication,train/scientific_publication/PUBLICATIONS058278-8.tif,train/scientific_publication/10423675_10423682.tif,1
2080487158_7164.tif,10168054_10168058.tif,presentation,scientific_publication,train/presentation/2080487158_7164.tif,train/scientific_publication/10168054_10168058.tif,0
71387541.tif,2023228924_2023228925.tif,advertisement,budget,train/advertisement/71387541.tif,train/budget/2023228924_2023228925.tif,0
0060190057.tif,2021559370_2021559392.tif,file_folder,scientific_report,train/file_folder/0060190057.tif,train/scientific_report/2021559370_2021559392.tif,0
50313321-3328.tif,89678182_89678194.tif,scientific_publication,memo,train/scientific_publication/50313321-3328.tif,train/memo/89678182_89678194.tif,0
2076525498_5499.tif,96156256.tif,questionnaire,memo,train/questionnaire/2076525498_5499.tif,train/memo/96156256.tif,0
2058504582.tif,2023484794.tif,advertisement,file_folder,train/advertisement/2058504582.tif,train/file_folder/2023484794.tif,0
2070713821_3822.tif,2047938957.tif,advertisement,advertisement,train/advertisement/2070713821_3822.tif,train/advertisement/2047938957.tif,1
2071103226_3226a.tif,40013740-3741.tif,resume,resume,train/resume/2071103226_3226a.tif,train/resume/40013740-3741.tif,1
2501051793.tif,2501070889_2501070900.tif,file_folder,resume,train/file_folder/2501051793.tif,train/resume/2501070889_2501070900.tif,0
2501066615.tif,2057239531.tif,news_article,scientific_report,train/news_article/2501066615.tif,train/scientific_report/2057239531.tif,0
86122827.tif,500362352+-2352.tif,advertisement,advertisement,train/advertisement/86122827.tif,train/advertisement/500362352+-2352.tif,1
2031294943.tif,504552558.tif,specification,specification,train/specification/2031294943.tif,train/specification/504552558.tif,1
518253707+-3715.tif,2028724473.tif,invoice,invoice,train/invoice/518253707+-3715.tif,train/invoice/2028724473.tif,1
504560806+-0806.tif,50481952-1952.tif,specification,file_folder,train/specification/504560806+-0806.tif,train/file_folder/50481952-1952.tif,0
2075169560_9567.tif,60001274_60001276.tif,scientific_publication,scientific_publication,train/scientific_publication/2075169560_9567.tif,train/scientific_publication/60001274_60001276.tif,1
2063180926_0929.tif,2044815683.tif,budget,budget,train/budget/2063180926_0929.tif,train/budget/2044815683.tif,1
87597636.tif,50569446-9452.tif,scientific_publication,scientific_publication,train/scientific_publication/87597636.tif,train/scientific_publication/50569446-9452.tif,1
0001488468.tif,93293572_3575.tif,questionnaire,budget,train/questionnaire/0001488468.tif,train/budget/93293572_3575.tif,0
2047527346_2047527353.tif,2023013371_2023013373.tif,presentation,presentation,train/presentation/2047527346_2047527353.tif,train/presentation/2023013371_2023013373.tif,1
2505487720_7726.tif,2028705067.tif,scientific_publication,scientific_report,train/scientific_publication/2505487720_7726.tif,train/scientific_report/2028705067.tif,0
0001224762.tif,2040817709.tif,advertisement,advertisement,train/advertisement/0001224762.tif,train/advertisement/2040817709.tif,1
1003537864-b.tif,2040796557.tif,news_article,budget,train/news_article/1003537864-b.tif,train/budget/2040796557.tif,0
2061003564.tif,87787922.tif,advertisement,advertisement,train/advertisement/2061003564.tif,train/advertisement/87787922.tif,1
2028607746_2028607748.tif,50497330-7331.tif,resume,resume,train/resume/2028607746_2028607748.tif,train/resume/50497330-7331.tif,1
00074314_00074321.tif,2501124638_2501124639.tif,scientific_report,scientific_report,train/scientific_report/00074314_00074321.tif,train/scientific_report/2501124638_2501124639.tif,1
0000049687.tif,2041719559_2041719569.tif,budget,budget,train/budget/0000049687.tif,train/budget/2041719559_2041719569.tif,1
2043664377.tif,2077097340.tif,presentation,presentation,train/presentation/2043664377.tif,train/presentation/2077097340.tif,1
60031543_60031554.tif,60046496.tif,scientific_publication,scientific_publication,train/scientific_publication/60031543_60031554.tif,train/scientific_publication/60046496.tif,1
tob07902.46.tif,2040649107.tif,budget,budget,train/budget/tob07902.46.tif,train/budget/2040649107.tif,1
50595801-5802.tif,50581423-1423.tif,resume,resume,train/resume/50595801-5802.tif,train/resume/50581423-1423.tif,1
50581302-1303.tif,2073863362.tif,resume,resume,train/resume/50581302-1303.tif,train/resume/2073863362.tif,1
2040962062.tif,2070315828_5829.tif,budget,budget,train/budget/2040962062.tif,train/budget/2070315828_5829.tif,1
0000344444.tif,0000242312.tif,advertisement,budget,train/advertisement/0000344444.tif,train/budget/0000242312.tif,0
50453997-3997.tif,50685711-5712.tif,scientific_publication,resume,train/scientific_publication/50453997-3997.tif,train/resume/50685711-5712.tif,0
okl00203.52.tif,tcal0134271_4272.tif,budget,budget,train/budget/okl00203.52.tif,train/budget/tcal0134271_4272.tif,1
2072480489.tif,518218847+-8848.tif,questionnaire,questionnaire,train/questionnaire/2072480489.tif,train/questionnaire/518218847+-8848.tif,1
2063684412.tif,tob08814.76.tif,advertisement,advertisement,train/advertisement/2063684412.tif,train/advertisement/tob08814.76.tif,1
71200766.tif,93107346.tif,advertisement,questionnaire,train/advertisement/71200766.tif,train/questionnaire/93107346.tif,0
2069716676.tif,0060082689.tif,specification,file_folder,train/specification/2069716676.tif,train/file_folder/0060082689.tif,0
516715260+-5260.tif,0060094186.tif,questionnaire,memo,train/questionnaire/516715260+-5260.tif,train/memo/0060094186.tif,0
thkp0010707_0725.tif,87059146_87059149.tif,presentation,presentation,train/presentation/thkp0010707_0725.tif,train/presentation/87059146_87059149.tif,1
0060053691.tif,0060106471.tif,file_folder,file_folder,train/file_folder/0060053691.tif,train/file_folder/0060106471.tif,1
2062554968_2062554975.tif,2028634903_2028634904.tif,scientific_report,scientific_report,train/scientific_report/2062554968_2062554975.tif,train/scientific_report/2028634903_2028634904.tif,1
2025441841.tif,1003066483.tif,news_article,news_article,train/news_article/2025441841.tif,train/news_article/1003066483.tif,1
2029189627.tif,2505556457_6458.tif,scientific_report,scientific_report,train/scientific_report/2029189627.tif,train/scientific_report/2505556457_6458.tif,1
0060054082.tif,50428461-8461.tif,invoice,file_folder,train/invoice/0060054082.tif,train/file_folder/50428461-8461.tif,0
0071008430.tif,09005334.tif,memo,budget,train/memo/0071008430.tif,train/budget/09005334.tif,0
01407676.tif,2023095573_2023095623.tif,memo,scientific_report,train/memo/01407676.tif,train/scientific_report/2023095573_2023095623.tif,0
91514569.tif,0011934314.tif,invoice,memo,train/invoice/91514569.tif,train/memo/0011934314.tif,0
50184105-4105.tif,2040307208.tif,memo,memo,train/memo/50184105-4105.tif,train/memo/2040307208.tif,1
50616974-6975.tif,50540671-0672.tif,resume,resume,train/resume/50616974-6975.tif,train/resume/50540671-0672.tif,1
506610285.tif,0011843379.tif,questionnaire,questionnaire,train/questionnaire/506610285.tif,train/questionnaire/0011843379.tif,1
2048525187.tif,2029099417_2029099803.tif,advertisement,scientific_report,train/advertisement/2048525187.tif,train/scientific_report/2029099417_2029099803.tif,0
11777498.tif,0011856402.tif,memo,memo,train/memo/11777498.tif,train/memo/0011856402.tif,1
0030045653.tif,505939733_505939742.tif,advertisement,questionnaire,train/advertisement/0030045653.tif,train/questionnaire/505939733_505939742.tif,0
0060161287.tif,2061659202.tif,file_folder,file_folder,train/file_folder/0060161287.tif,train/file_folder/2061659202.tif,1
91514667.tif,2029140023_2029140114.tif,invoice,scientific_report,train/invoice/91514667.tif,train/scientific_report/2029140023_2029140114.tif,0
0001250138.tif,2073924816.tif,questionnaire,questionnaire,train/questionnaire/0001250138.tif,train/questionnaire/2073924816.tif,1
2070718193.tif,0013231208.tif,advertisement,questionnaire,train/advertisement/2070718193.tif,train/questionnaire/0013231208.tif,0
2045600556.tif,2025019387.tif,advertisement,advertisement,train/advertisement/2045600556.tif,train/advertisement/2025019387.tif,1
2028931485_2028931547.tif,1000029972_1000029982.tif,scientific_report,scientific_report,train/scientific_report/2028931485_2028931547.tif,train/scientific_report/1000029972_1000029982.tif,1
2046943699.tif,2029118241_2029118242.tif,file_folder,scientific_report,train/file_folder/2046943699.tif,train/scientific_report/2029118241_2029118242.tif,0
0060195372.tif,2501335788.tif,invoice,invoice,train/invoice/0060195372.tif,train/invoice/2501335788.tif,1
60031543_60031554.tif,91731112.tif,scientific_publication,scientific_publication,train/scientific_publication/60031543_60031554.tif,train/scientific_publication/91731112.tif,1
87103743.tif,50607024-7025.tif,invoice,resume,train/invoice/87103743.tif,train/resume/50607024-7025.tif,0
2026332564_2026332578.tif,2072957996.tif,scientific_publication,invoice,train/scientific_publication/2026332564_2026332578.tif,train/invoice/2072957996.tif,0
2024273086.tif,2060319357_2060319361.tif,memo,budget,train/memo/2024273086.tif,train/budget/2060319357_2060319361.tif,0
506610285.tif,511307398+-7414.tif,questionnaire,questionnaire,train/questionnaire/506610285.tif,train/questionnaire/511307398+-7414.tif,1
0001234943.tif,01835819_5823.tif,questionnaire,questionnaire,train/questionnaire/0001234943.tif,train/questionnaire/01835819_5823.tif,1
50552767-2767.tif,50300927-0933.tif,scientific_publication,scientific_publication,train/scientific_publication/50552767-2767.tif,train/scientific_publication/50300927-0933.tif,1
